['02080000', 'Guard #1439 begins shift']
['04230004', 'Guard #2251 begins shift']
['04230011', 'falls asleep']
['04230024', 'wakes up']
['04240001', 'Guard #233 begins shift']
['04250002', 'Guard #1439 begins shift']
['04250022', 'falls asleep']
['04250036', 'wakes up']
['04250048', 'falls asleep']
['04250049', 'wakes up']
['04252356', 'Guard #1637 begins shift']
['04260013', 'falls asleep']
['04260016', 'wakes up']
['04260030', 'falls asleep']
['04260036', 'wakes up']
['04262348', 'Guard #1213 begins shift']
['04270003', 'falls asleep']
['04270020', 'wakes up']
['04270024', 'falls asleep']
['04270042', 'wakes up']
['04270047', 'falls asleep']
['04270059', 'wakes up']
['04272359', 'Guard #2707 begins shift']
['04280023', 'falls asleep']
['04280058', 'wakes up']
['04282350', 'Guard #2753 begins shift']
['04290004', 'falls asleep']
['04290047', 'wakes up']
['04300001', 'Guard #2753 begins shift']
['04300008', 'falls asleep']
['04300051', 'wakes up']
['04302358', 'Guard #911 begins shift']
['05010025', 'falls asleep']
['05010035', 'wakes up']
['05010055', 'falls asleep']
['05010058', 'wakes up']
['05020001', 'Guard #3121 begins shift']
['05020012', 'falls asleep']
['05020042', 'wakes up']
['05020047', 'falls asleep']
['05020048', 'wakes up']
['05020051', 'falls asleep']
['05020054', 'wakes up']
['05022359', 'Guard #1231 begins shift']
['05030039', 'falls asleep']
['05030058', 'wakes up']
['05040000', 'Guard #2851 begins shift']
['05040043', 'falls asleep']
['05040057', 'wakes up']
['05050000', 'Guard #1223 begins shift']
['05050018', 'falls asleep']
['05050047', 'wakes up']
['05050050', 'falls asleep']
['05050054', 'wakes up']
['05052350', 'Guard #1213 begins shift']
['05060002', 'falls asleep']
['05060039', 'wakes up']
['05060043', 'falls asleep']
['05060046', 'wakes up']
['05062359', 'Guard #2251 begins shift']
['05070037', 'falls asleep']
['05070044', 'wakes up']
['05070054', 'falls asleep']
['05070058', 'wakes up']
['05072356', 'Guard #1283 begins shift']
['05080041', 'falls asleep']
['05080046', 'wakes up']
['05080049', 'falls asleep']
['05080054', 'wakes up']
['05082350', 'Guard #1283 begins shift']
['05090003', 'falls asleep']
['05090017', 'wakes up']
['05090025', 'falls asleep']
['05090049', 'wakes up']
['05092357', 'Guard #1999 begins shift']
['05110003', 'Guard #3323 begins shift']
['05110034', 'falls asleep']
['05110044', 'wakes up']
['05110052', 'falls asleep']
['05110055', 'wakes up']
['05112356', 'Guard #3323 begins shift']
['05120008', 'falls asleep']
['05120044', 'wakes up']
['05130000', 'Guard #1439 begins shift']
['05130042', 'falls asleep']
['05130044', 'wakes up']
['05130047', 'falls asleep']
['05130050', 'wakes up']
['05140003', 'Guard #2903 begins shift']
['05140032', 'falls asleep']
['05140050', 'wakes up']
['05142357', 'Guard #859 begins shift']
['05150046', 'falls asleep']
['05150056', 'wakes up']
['05160002', 'Guard #887 begins shift']
['05160015', 'falls asleep']
['05160042', 'wakes up']
['05170003', 'Guard #859 begins shift']
['05170025', 'falls asleep']
['05170048', 'wakes up']
['05180004', 'Guard #1231 begins shift']
['05180037', 'falls asleep']
['05180043', 'wakes up']
['05182357', 'Guard #1231 begins shift']
['05190014', 'falls asleep']
['05190029', 'wakes up']
['05190043', 'falls asleep']
['05190052', 'wakes up']
['05200000', 'Guard #3323 begins shift']
['05200046', 'falls asleep']
['05200058', 'wakes up']
['05202358', 'Guard #1597 begins shift']
['05210009', 'falls asleep']
['05210037', 'wakes up']
['05212357', 'Guard #2251 begins shift']
['05220012', 'falls asleep']
['05220019', 'wakes up']
['05222359', 'Guard #1213 begins shift']
['05230019', 'falls asleep']
['05230024', 'wakes up']
['05230028', 'falls asleep']
['05230055', 'wakes up']
['05240002', 'Guard #2903 begins shift']
['05240027', 'falls asleep']
['05240051', 'wakes up']
['05250004', 'Guard #3121 begins shift']
['05250020', 'falls asleep']
['05250043', 'wakes up']
['05250050', 'falls asleep']
['05250055', 'wakes up']
['05260003', 'Guard #233 begins shift']
['05270000', 'Guard #1283 begins shift']
['05270012', 'falls asleep']
['05270015', 'wakes up']
['05270035', 'falls asleep']
['05270041', 'wakes up']
['05270049', 'falls asleep']
['05270052', 'wakes up']
['05280003', 'Guard #1439 begins shift']
['05280017', 'falls asleep']
['05280024', 'wakes up']
['05280035', 'falls asleep']
['05280046', 'wakes up']
['05280049', 'falls asleep']
['05280058', 'wakes up']
['05290004', 'Guard #2707 begins shift']
['05290051', 'falls asleep']
['05290057', 'wakes up']
['05300003', 'Guard #3121 begins shift']
['05300014', 'falls asleep']
['05300026', 'wakes up']
['05302356', 'Guard #2753 begins shift']
['05310020', 'falls asleep']
['05310051', 'wakes up']
['05312346', 'Guard #3023 begins shift']
['06010003', 'falls asleep']
['06010036', 'wakes up']
['06010047', 'falls asleep']
['06010053', 'wakes up']
['06020000', 'Guard #887 begins shift']
['06020019', 'falls asleep']
['06020051', 'wakes up']
['06022348', 'Guard #2753 begins shift']
['06030005', 'falls asleep']
['06030041', 'wakes up']
['06040003', 'Guard #2971 begins shift']
['06040025', 'falls asleep']
['06040047', 'wakes up']
['06040052', 'falls asleep']
['06040055', 'wakes up']
['06042359', 'Guard #859 begins shift']
['06050041', 'falls asleep']
['06050042', 'wakes up']
['06050050', 'falls asleep']
['06050057', 'wakes up']
['06052357', 'Guard #2753 begins shift']
['06060027', 'falls asleep']
['06060045', 'wakes up']
['06060048', 'falls asleep']
['06060054', 'wakes up']
['06062356', 'Guard #3323 begins shift']
['06070033', 'falls asleep']
['06070036', 'wakes up']
['06070043', 'falls asleep']
['06070049', 'wakes up']
['06072347', 'Guard #1223 begins shift']
['06080003', 'falls asleep']
['06080028', 'wakes up']
['06080033', 'falls asleep']
['06080054', 'wakes up']
['06090000', 'Guard #1597 begins shift']
['06090020', 'falls asleep']
['06090051', 'wakes up']
['06092350', 'Guard #3023 begins shift']
['06100003', 'falls asleep']
['06100035', 'wakes up']
['06110001', 'Guard #1439 begins shift']
['06110018', 'falls asleep']
['06110046', 'wakes up']
['06120000', 'Guard #1231 begins shift']
['06120017', 'falls asleep']
['06120058', 'wakes up']
['06122358', 'Guard #3023 begins shift']
['06130024', 'falls asleep']
['06130052', 'wakes up']
['06132356', 'Guard #887 begins shift']
['06140012', 'falls asleep']
['06140021', 'wakes up']
['06140025', 'falls asleep']
['06140056', 'wakes up']
['06150002', 'Guard #2251 begins shift']
['06150039', 'falls asleep']
['06150045', 'wakes up']
['06160004', 'Guard #2851 begins shift']
['06160041', 'falls asleep']
['06160056', 'wakes up']
['06162358', 'Guard #859 begins shift']
['06170020', 'falls asleep']
['06170057', 'wakes up']
['06172357', 'Guard #3121 begins shift']
['06180009', 'falls asleep']
['06180051', 'wakes up']
['06180055', 'falls asleep']
['06180056', 'wakes up']
['06190001', 'Guard #2707 begins shift']
['06190023', 'falls asleep']
['06190049', 'wakes up']
['06200003', 'Guard #3323 begins shift']
['06200025', 'falls asleep']
['06200036', 'wakes up']
['06210003', 'Guard #1637 begins shift']
['06210048', 'falls asleep']
['06210050', 'wakes up']
['06220000', 'Guard #3023 begins shift']
['06220014', 'falls asleep']
['06220056', 'wakes up']
['06230000', 'Guard #3121 begins shift']
['06230048', 'falls asleep']
['06230050', 'wakes up']
['06230054', 'falls asleep']
['06230058', 'wakes up']
['06232347', 'Guard #1439 begins shift']
['06240001', 'falls asleep']
['06240004', 'wakes up']
['06240017', 'falls asleep']
['06240043', 'wakes up']
['06240047', 'falls asleep']
['06240057', 'wakes up']
['06250001', 'Guard #2903 begins shift']
['06250023', 'falls asleep']
['06250051', 'wakes up']
['06252357', 'Guard #2851 begins shift']
['06260037', 'falls asleep']
['06260047', 'wakes up']
['06262358', 'Guard #2903 begins shift']
['06270014', 'falls asleep']
['06270053', 'wakes up']
['06272353', 'Guard #1213 begins shift']
['06280001', 'falls asleep']
['06280006', 'wakes up']
['06280015', 'falls asleep']
['06280028', 'wakes up']
['06280035', 'falls asleep']
['06280043', 'wakes up']
['06290004', 'Guard #3323 begins shift']
['06290028', 'falls asleep']
['06290044', 'wakes up']
['06290049', 'falls asleep']
['06290050', 'wakes up']
['06300004', 'Guard #1733 begins shift']
['06300022', 'falls asleep']
['06300055', 'wakes up']
['07010000', 'Guard #3023 begins shift']
['07010013', 'falls asleep']
['07010046', 'wakes up']
['07012359', 'Guard #2707 begins shift']
['07020032', 'falls asleep']
['07020053', 'wakes up']
['07022359', 'Guard #2251 begins shift']
['07030023', 'falls asleep']
['07030045', 'wakes up']
['07040003', 'Guard #3023 begins shift']
['07040038', 'falls asleep']
['07040059', 'wakes up']
['07042356', 'Guard #3449 begins shift']
['07052352', 'Guard #3023 begins shift']
['07060001', 'falls asleep']
['07060017', 'wakes up']
['07060039', 'falls asleep']
['07060051', 'wakes up']
['07060055', 'falls asleep']
['07060058', 'wakes up']
['07062359', 'Guard #2971 begins shift']
['07070019', 'falls asleep']
['07070049', 'wakes up']
['07072356', 'Guard #1597 begins shift']
['07080022', 'falls asleep']
['07080033', 'wakes up']
['07080042', 'falls asleep']
['07080057', 'wakes up']
['07082356', 'Guard #3323 begins shift']
['07090029', 'falls asleep']
['07090050', 'wakes up']
['07092357', 'Guard #2851 begins shift']
['07100011', 'falls asleep']
['07100028', 'wakes up']
['07100044', 'falls asleep']
['07100051', 'wakes up']
['07110002', 'Guard #1439 begins shift']
['07110033', 'falls asleep']
['07110057', 'wakes up']
['07112347', 'Guard #1223 begins shift']
['07120003', 'falls asleep']
['07120009', 'wakes up']
['07120035', 'falls asleep']
['07120040', 'wakes up']
['07130003', 'Guard #3121 begins shift']
['07130027', 'falls asleep']
['07130036', 'wakes up']
['07130047', 'falls asleep']
['07130052', 'wakes up']
['07132350', 'Guard #2753 begins shift']
['07140001', 'falls asleep']
['07140057', 'wakes up']
['07142359', 'Guard #2851 begins shift']
['07150018', 'falls asleep']
['07150056', 'wakes up']
['07152358', 'Guard #1231 begins shift']
['07160010', 'falls asleep']
['07160057', 'wakes up']
['07162353', 'Guard #1597 begins shift']
['07170002', 'falls asleep']
['07170024', 'wakes up']
['07170042', 'falls asleep']
['07170049', 'wakes up']
['07170054', 'falls asleep']
['07170058', 'wakes up']
['07180002', 'Guard #1439 begins shift']
['07180024', 'falls asleep']
['07180049', 'wakes up']
['07190004', 'Guard #1231 begins shift']
['07190026', 'falls asleep']
['07190042', 'wakes up']
['07192359', 'Guard #3121 begins shift']
['07200013', 'falls asleep']
['07200036', 'wakes up']
['07202358', 'Guard #3323 begins shift']
['07210039', 'falls asleep']
['07210056', 'wakes up']
['07212359', 'Guard #3023 begins shift']
['07220036', 'falls asleep']
['07220058', 'wakes up']
['07222350', 'Guard #2903 begins shift']
['07230001', 'falls asleep']
['07230026', 'wakes up']
['07230029', 'falls asleep']
['07230039', 'wakes up']
['07232359', 'Guard #1213 begins shift']
['07240011', 'falls asleep']
['07240021', 'wakes up']
['07250003', 'Guard #2251 begins shift']
['07250033', 'falls asleep']
['07250050', 'wakes up']
['07260003', 'Guard #2971 begins shift']
['07260030', 'falls asleep']
['07260055', 'wakes up']
['07262352', 'Guard #1597 begins shift']
['07270005', 'falls asleep']
['07270030', 'wakes up']
['07270036', 'falls asleep']
['07270055', 'wakes up']
['07280001', 'Guard #2971 begins shift']
['07280014', 'falls asleep']
['07280035', 'wakes up']
['07280044', 'falls asleep']
['07280054', 'wakes up']
['07290000', 'Guard #2903 begins shift']
['07290046', 'falls asleep']
['07290056', 'wakes up']
['07292357', 'Guard #2251 begins shift']
['07300013', 'falls asleep']
['07300016', 'wakes up']
['07300020', 'falls asleep']
['07300021', 'wakes up']
['07310004', 'Guard #3023 begins shift']
['07310049', 'falls asleep']
['07310058', 'wakes up']
['08010000', 'Guard #3323 begins shift']
['08010011', 'falls asleep']
['08010037', 'wakes up']
['08020002', 'Guard #1223 begins shift']
['08020010', 'falls asleep']
['08020031', 'wakes up']
['08020044', 'falls asleep']
['08020053', 'wakes up']
['08022357', 'Guard #859 begins shift']
['08030019', 'falls asleep']
['08030037', 'wakes up']
['08030053', 'falls asleep']
['08030054', 'wakes up']
['08040001', 'Guard #1439 begins shift']
['08040022', 'falls asleep']
['08040035', 'wakes up']
['08050002', 'Guard #887 begins shift']
['08050008', 'falls asleep']
['08050014', 'wakes up']
['08050023', 'falls asleep']
['08050038', 'wakes up']
['08050045', 'falls asleep']
['08050056', 'wakes up']
['08052359', 'Guard #859 begins shift']
['08060011', 'falls asleep']
['08060013', 'wakes up']
['08060016', 'falls asleep']
['08060057', 'wakes up']
['08062359', 'Guard #1999 begins shift']
['08080004', 'Guard #2903 begins shift']
['08080055', 'falls asleep']
['08080056', 'wakes up']
['08090003', 'Guard #2707 begins shift']
['08090026', 'falls asleep']
['08090053', 'wakes up']
['08100003', 'Guard #3023 begins shift']
['08100034', 'falls asleep']
['08100038', 'wakes up']
['08100050', 'falls asleep']
['08100054', 'wakes up']
['08102357', 'Guard #1231 begins shift']
['08110028', 'falls asleep']
['08110047', 'wakes up']
['08110052', 'falls asleep']
['08110056', 'wakes up']
['08112359', 'Guard #1213 begins shift']
['08120017', 'falls asleep']
['08120056', 'wakes up']
['08122356', 'Guard #1283 begins shift']
['08130027', 'falls asleep']
['08130055', 'wakes up']
['08140000', 'Guard #3023 begins shift']
['08140012', 'falls asleep']
['08140019', 'wakes up']
['08140034', 'falls asleep']
['08140055', 'wakes up']
['08150002', 'Guard #2753 begins shift']
['08150017', 'falls asleep']
['08150031', 'wakes up']
['08150041', 'falls asleep']
['08150059', 'wakes up']
['08160002', 'Guard #2851 begins shift']
['08160018', 'falls asleep']
['08160035', 'wakes up']
['08160053', 'falls asleep']
['08160057', 'wakes up']
['08170002', 'Guard #1597 begins shift']
['08170037', 'falls asleep']
['08170042', 'wakes up']
['08180000', 'Guard #2707 begins shift']
['08180028', 'falls asleep']
['08180059', 'wakes up']
['08190002', 'Guard #1223 begins shift']
['08190042', 'falls asleep']
['08190048', 'wakes up']
['08200001', 'Guard #911 begins shift']
['08200028', 'falls asleep']
['08200044', 'wakes up']
['08210001', 'Guard #887 begins shift']
['08210036', 'falls asleep']
['08210039', 'wakes up']
['08212350', 'Guard #3323 begins shift']
['08220004', 'falls asleep']
['08220006', 'wakes up']
['08230000', 'Guard #233 begins shift']
['08240004', 'Guard #2851 begins shift']
['08240040', 'falls asleep']
['08240042', 'wakes up']
['08240047', 'falls asleep']
['08240059', 'wakes up']
['08250000', 'Guard #887 begins shift']
['08250010', 'falls asleep']
['08250031', 'wakes up']
['08250045', 'falls asleep']
['08250050', 'wakes up']
['08250053', 'falls asleep']
['08250056', 'wakes up']
['08252358', 'Guard #887 begins shift']
['08260027', 'falls asleep']
['08260050', 'wakes up']
['08270000', 'Guard #3323 begins shift']
['08270048', 'falls asleep']
['08270052', 'wakes up']
['08280000', 'Guard #3023 begins shift']
['08280028', 'falls asleep']
['08280047', 'wakes up']
['08282352', 'Guard #1283 begins shift']
['08290005', 'falls asleep']
['08290016', 'wakes up']
['08290025', 'falls asleep']
['08290059', 'wakes up']
['08292357', 'Guard #1733 begins shift']
['08300033', 'falls asleep']
['08300043', 'wakes up']
['08300056', 'falls asleep']
['08300059', 'wakes up']
['08302356', 'Guard #3121 begins shift']
['08310006', 'falls asleep']
['08310036', 'wakes up']
['08310051', 'falls asleep']
['08310057', 'wakes up']
['09010004', 'Guard #1223 begins shift']
['09010015', 'falls asleep']
['09010030', 'wakes up']
['09010044', 'falls asleep']
['09010054', 'wakes up']
['09012356', 'Guard #3323 begins shift']
['09020023', 'falls asleep']
['09020025', 'wakes up']
['09020029', 'falls asleep']
['09020041', 'wakes up']
['09022353', 'Guard #2851 begins shift']
['09030003', 'falls asleep']
['09030057', 'wakes up']
['09032356', 'Guard #1597 begins shift']
['09040028', 'falls asleep']
['09040049', 'wakes up']
['09042351', 'Guard #3121 begins shift']
['09050001', 'falls asleep']
['09050028', 'wakes up']
['09060003', 'Guard #3023 begins shift']
['09060023', 'falls asleep']
['09060050', 'wakes up']
['09060053', 'falls asleep']
['09060055', 'wakes up']
['09070002', 'Guard #1283 begins shift']
['09070007', 'falls asleep']
['09070052', 'wakes up']
['09080004', 'Guard #2903 begins shift']
['09080029', 'falls asleep']
['09080053', 'wakes up']
['09090004', 'Guard #2251 begins shift']
['09090013', 'falls asleep']
['09090043', 'wakes up']
['09092357', 'Guard #2707 begins shift']
['09100026', 'falls asleep']
['09100031', 'wakes up']
['09100038', 'falls asleep']
['09100046', 'wakes up']
['09100049', 'falls asleep']
['09100053', 'wakes up']
['09100056', 'falls asleep']
['09100058', 'wakes up']
['09110004', 'Guard #1637 begins shift']
['09110018', 'falls asleep']
['09110019', 'wakes up']
['09120000', 'Guard #2753 begins shift']
['09120014', 'falls asleep']
['09120029', 'wakes up']
['09120047', 'falls asleep']
['09120049', 'wakes up']
['09122359', 'Guard #1637 begins shift']
['09130009', 'falls asleep']
['09130019', 'wakes up']
['09130051', 'falls asleep']
['09130059', 'wakes up']
['09140003', 'Guard #911 begins shift']
['09140023', 'falls asleep']
['09140045', 'wakes up']
['09140055', 'falls asleep']
['09140059', 'wakes up']
['09150003', 'Guard #2971 begins shift']
['09150036', 'falls asleep']
['09150051', 'wakes up']
['09152346', 'Guard #2971 begins shift']
['09160002', 'falls asleep']
['09160059', 'wakes up']
['09162359', 'Guard #3323 begins shift']
['09170019', 'falls asleep']
['09170022', 'wakes up']
['09170038', 'falls asleep']
['09170053', 'wakes up']
['09172358', 'Guard #3323 begins shift']
['09180010', 'falls asleep']
['09180042', 'wakes up']
['09182350', 'Guard #1439 begins shift']
['09190002', 'falls asleep']
['09190032', 'wakes up']
['09192349', 'Guard #1597 begins shift']
['09200004', 'falls asleep']
['09200019', 'wakes up']
['09200039', 'falls asleep']
['09200053', 'wakes up']
['09202357', 'Guard #887 begins shift']
['09210034', 'falls asleep']
['09210055', 'wakes up']
['09212358', 'Guard #1213 begins shift']
['09220018', 'falls asleep']
['09220023', 'wakes up']
['09220052', 'falls asleep']
['09220059', 'wakes up']
['09222353', 'Guard #859 begins shift']
['09230002', 'falls asleep']
['09230031', 'wakes up']
['09232357', 'Guard #1223 begins shift']
['09240044', 'falls asleep']
['09240047', 'wakes up']
['09240050', 'falls asleep']
['09240059', 'wakes up']
['09250001', 'Guard #859 begins shift']
['09250026', 'falls asleep']
['09250040', 'wakes up']
['09252358', 'Guard #1213 begins shift']
['09260016', 'falls asleep']
['09260021', 'wakes up']
['09260043', 'falls asleep']
['09260050', 'wakes up']
['09260056', 'falls asleep']
['09260057', 'wakes up']
['09262359', 'Guard #2707 begins shift']
['09270046', 'falls asleep']
['09270059', 'wakes up']
['09272359', 'Guard #2707 begins shift']
['09280025', 'falls asleep']
['09280050', 'wakes up']
['09290001', 'Guard #3023 begins shift']
['09290037', 'falls asleep']
['09290038', 'wakes up']
['09290044', 'falls asleep']
['09290047', 'wakes up']
['09292350', 'Guard #2851 begins shift']
['09300003', 'falls asleep']
['09300046', 'wakes up']
['09302359', 'Guard #2903 begins shift']
['10010012', 'falls asleep']
['10010046', 'wakes up']
['10020002', 'Guard #2971 begins shift']
['10020024', 'falls asleep']
['10020047', 'wakes up']
['10030000', 'Guard #2251 begins shift']
['10030008', 'falls asleep']
['10030037', 'wakes up']
['10040002', 'Guard #1637 begins shift']
['10040051', 'falls asleep']
